Segment,Age,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_DOB,row_count,NPN,LICENSE_NUMBER,LICENSE_TYPE,BROKERDEALER_NAME,QUALIFICATION,CITY,STATE_REGISTERED_ARRAY,NUM_STATE_REGISTERED,EDUCATION,GENDER,HOUSE_OWNERSHIP,MAPPED_CUST_ID,MARITAL_STATUS,NO_OF_CHILDRENS,NO_OF_DEPENDENTS,OCCUPATION,POSTAL_CODE,PURCHASE_HABITS_APPAREL,PURCHASE_HABITS_COMPUTERS,PURCHASE_HABITS_FITNESS,PURCHASE_HABITS_OTHERS,PURCHASE_HABITS_TRAVEL,max,REPCRD,BDFIRMCRD,INDEPENDENT_CONTRACTOR_FLAG,AUM_SELFREPORTED,AGENT_TENURE,NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS,label,NPS_FEEDBACK,NPS_SCORE,AGENT_ID,MEMBERSHIP_STATUS_DATE,AGENT_MEMBERSHIP_PROGRAM_STATUS,CHANNEL,COMPLAINTS_LAST_12_MONTHS,COMPLAINT_CATEGORY,PREMIUM_AMOUNT
Independent Agents,64,KASANDRA,CINTRON,-275788800000,1,19573875,3026682,Adjuster,"[""Starkweather & Shepley Insurance Brokerage Inc.""]",Adjuster - All Lines,HOLLYWOOD,"[""OK"",""HI"",""VT""]",3,HIGH_SCHOOL,F,OWN,5984919,MARRIED,1,2,MANAGER,33024,0,0,0,1,0,state,905574,82477,1,9818971,1.7,9,Passive,Have to chase the company for every small update.,6,5984919,1677283200000,Visited,Search,0,,4440
Independent Agents,38,EMILY,MCKINNEY,550195200000,1,20166931,2775009,Adjuster,"[""CCIG""]",Adjuster - P&C,SHAWNEE MISSION,"[""TX"",""UT""]",2,DOCTORATE,F,OWN,21914726,DIVORCED,2,2,ADJUSTER,662011405,0,0,0,1,0,state,299921,97680,1,2371158,2.1,16,Promoter,The online support chat is responsive and helped me update my beneficiaries in minutes.,9,21914726,1747094400000,Registered,Multichannel Initiative,0,,5143
Comfortable retirees,61,AEGINA,KENNEY,-195004800000,1,17120672,1868991,General Lines Agent,"[""Ross & Yerger Insurance""]","Life, Accident, Health & HMO",AMARILLO,"[""MN"",""KS""]",2,BACHELOR,F,OWN,26020694,DIVORCED,3,4,MANAGER,791197732,1,1,1,1,0,state,572218,28812,,1069395,7.8,14,Passive,"Policy is new, will have to wait and see about claims.",7,26020694,1623456000000,Visited,Event,4,Service,8640
Independent Agents,34,DELORES,GUILLORY,679881600000,1,1327566,617457,Adjuster,"[""Rich & Cartmill Inc.""]",Adjuster - P&C,IOWA,"[""NV"",""KS"",""VA"",""IL""]",4,BACHELOR,M,MORTGAGE,64664593,MARRIED,2,3,BROKER,70647,0,0,1,0,0,state,170477,51784,,5731562,2.5,6,Detractor,No update provided despite sending all relevant documents.,2,64664593,1688515200000,Visited,Referral,0,,6397
Independent Agents,25,TOSIN,OLATUNJI,949968000000,1,19234950,2427946,Adjuster,"[""Cross Insurance""]",Adjuster - All Lines,KATY,"[""TN"",""VA""]",2,ASSOCIATE,F,MORTGAGE,138431378,SINGLE,1,2,SERVICE,774494506,0,1,0,0,0,state,581018,90214,,8229205,6.3,14,Passive,"Expectations matched reality, service-wise.",8,138431378,1724198400000,Sent,Web Content,11,Website,4414
Independent Agents,30,ADAM,MELLUSO,800150400000,1,20105178,2757058,Pers Lines Prop and Cas Agent,"[""Hylant""]",Personal Lines Prop and Cas,EAST AMHERST,"[""NY"",""OH"",""NJ""]",3,DOCTORATE,M,OWN,189282651,MARRIED,1,4,CONSULTANT,14051,1,1,0,1,0,state,443261,21871,1,6315704,20,11,Promoter,Love the mobile app for managing my policies on the go.,10,189282651,1732406400000,Visited,Web Content,5,Claims,6110
Independent Agents,55,MICAHLYN,VAICHUS,18489600000,1,20761815,3024909,Adjuster,"[""Unison Risk Advisors""]",Adjuster - P&C,SOUTHINGTON,"[""GA"",""MD""]",2,ASSOCIATE,F,RENT,211437876,MARRIED,1,0,ADJUSTER,064893524,0,0,0,1,0,state,371352,43249,,7825965,4.4,14,Passive,"No major complaints, but nothing stands out as excellent either.",8,211437876,1681603200000,Sent,Paid Social,10,Billing,4785
Independent Agents,53,KATIE,NGUYEN,82771200000,1,20564740,3356959,General Lines Agent,"[""Hylant""]","Life, Accident, Health & HMO",NANUET,"[""AR"",""IA"",""VA""]",3,MASTER,F,RENT,256531666,DIVORCED,0,2,AGENT,109545906,1,1,1,1,1,state,361816,79261,,43060138,9,2,Passive,Claims process is tedious and paperwork-heavy.,6,256531666,1683417600000,Visited,Referral,0,,4383
Independent Agents,51,JEREMY,LEWIS,121219200000,1,18336894,2209962,Adjuster,"[""Inszone Insurance""]",Adjuster - All Lines,RICHARDSON,"[""NM""]",1,MASTER,M,OWN,313991151,WIDOWED,2,2,SERVICE,750824412,0,1,1,1,0,state,837463,48797,1,9718132,16.1,2,Detractor,Aggressive upselling without clarifying plan differences.,1,313991151,1729728000000,Visited,Search,5,Website,3964
Independent Agents,29,JEREMY,LEWIS,814406400000,1,19564904,2553873,General Lines Agent,"[""CAC Group""]","Life, Accident, Health & HMO",MEMPHIS,"[""OK"",""IN"",""OH""]",3,MASTER,F,OWN,313991151,WIDOWED,2,2,SERVICE,38125,0,1,1,1,0,state,481155,34077,,7780626,6.6,2,Detractor,Aggressive upselling without clarifying plan differences.,1,313991151,1729728000000,Visited,Search,5,Website,4425
