NPN,LICENSE_NUMBER,NAME,LICENSE_TYPE,QUALIFICATION,ISSUE_DATE,EXPIRATION_DATE,CITY,STATE,POSTAL_CODE,PROVINCE,HOME_STATE,REPCRD,BDFIRMCRD,BROKERDEALER_NAME,GENDER,INSURANCE_LICENSE_FLAG,AGENT_EMAIL_VALIDATION_FLAG,INDEPENDENT_CONTRACTOR_FLAG,SELING_AGENT_FLAG,FIRM_ASSOCIATED,AGENT_DOB,SE2_HIRE_DATE,AUM_SELFREPORTED,RETIREMENT_PROD_SELLER,BRANCH_TYPE,STATE_REGISTERED,FIRST_POLICY_SOLD,AGENT_TENURE,PRIOR_FIRM_CRD,PRIOR_FIRM_LAST_DATE,PRIOR_FIRM_START_DATE
18908045,2857964,JOHN PEDIGO,General Lines Agent,"Life, Accident, Health & HMO",1656028800000,2026-05-31,SARATOGA SPRINGS,UT,840453922,null,CA,879563,88739,Ross & Yerger Insurance,F,1,1,,1,1,529804800000,1617321600000,35252785,1,Independent,"CA,KY,CO",1632009600000,4.4,32942,2018-04-16,2016-02-24
18556195,3092172,JENNIFER WAGNER,Life Agent,Life Agent/Agency,1698710400000,2025-08-31,PORT RICHEY,FL,34668,null,PA,916791,40324,Swingle Collins & Associates Inc.,F,1,1,,1,1,467510400000,1731369600000,1005128,,Wirehouse,"PA,MD,NJ",1733788800000,0.8,null,null,null
21348390,3272047,KYLE WELLS,General Lines Agent,Property and Casualty,1734048000000,2026-11-30,TROY,MI,48085,null,NJ,539468,96711,Vantage Insurance Partners,M,1,1,,1,1,-84844800000,1201392000000,3860209,1,Regional,"NJ,NV,VA,NM",1214870400000,17.6,87454,2005-11-26,1998-08-26
6067414,1652578,RICHARD THOMPSON,General Lines Agent,"Life, Accident, Health & HMO",1287100800000,2025-12-31,TUTTLE,OK,730899192,null,AZ,307366,78257,Paramount Exclusive Insurance Services Inc.,F,1,1,,,1,278812800000,1698019200000,6129805,,Wirehouse,AZ,1710806400000,1.8,81725,2021-07-01,2016-07-08
20361234,3080087,JON DEREK REMMER JR,General Lines Agent,Property and Casualty,1696809600000,2027-06-30,SAN DIEGO,CA,92103,null,MT,392773,69842,C3 Risk & Insurance,M,,1,1,1,1,-14083200000,1359676800000,0,,Independent,MT,1369958400000,12.5,null,null,null
1155707,756283,DOROTHY MCCLAIN,General Lines Agent,"Life, Accident, Health & HMO",586137600000,2027-01-31,HOUSTON,TX,77051,null,PA,438161,21009,R&R Insurance Services Inc.,F,,1,,1,1,-239932800000,1169078400000,0,,Wirehouse,"PA,MD,HI",1176076800000,18.6,74445,2002-08-05,1998-08-15
20055973,2757051,ROBERTO PFEFFER ALMEIDA,Life Agent,Life Agent/Agency,1635379200000,2025-08-31,MANSFIELD,MA,020483239,null,WA,844976,41734,The Daniel and Henry Company,F,1,1,,1,1,646617600000,1636675200000,5894114,,Wirehouse,"WA,HI,MS",1637452800000,3.8,null,null,null
15744708,1621000,PAUL HAMMAN,Adjuster,Adjuster - P&C,1271980800000,2026-08-31,BOSTON,MA,021165066,null,WI,561774,72033,Crest Insurance Group,M,1,1,,,1,64022400000,1371254400000,3492274,1,Bank,"WI,OH,IN,MT",1378512000000,12.2,99878,2009-07-24,2003-06-23
21622681,3355368,ABDULLAH FAHHAM,Life Agent,Life Agent/Agency,1751068800000,2027-05-31,HUNTINGDON VALLEY,PA,19006,null,PA,520823,98152,Superior Insurance Partners,F,1,1,,,1,37324800000,1312070400000,0,,Regional,"PA,IL",1323216000000,14,null,null,null
18099638,2810207,SCOTT LANG,General Lines Agent,"Life, Accident, Health & HMO",1646784000000,2026-05-31,PRESCOTT,AZ,863057149,null,CA,603026,26481,Shepherd Insurance,M,1,1,,1,1,338601600000,1233360000000,4587497,1,Regional,"CA,AL",1241913600000,16.5,54232,2007-10-12,2001-03-25
