MAPPED_CUST_ID,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,AGE,EDUCATION,STATUS,MARITAL_STATUS,NO_OF_CHILDRENS,NO_OF_DEPENDENTS,HOUSE_OWNERSHIP,OCCUPATION,PURCHASE_HABITS_APPAREL,PURCHASE_HABITS_TRAVEL,PURCHASE_HABITS_FITNESS,PURCHASE_HABITS_COMPUTERS,PURCHASE_HABITS_FICTION,PURCHASE_HABITS_OTHERS
622202748087,CHRISTOPHER,HUGHES,123984000000,51,BACHELOR,EMPLOYED,SINGLE,3,3,OTHER,ADJUSTER,0,1,0,1,1,0
853768867619,JOSEPH,FELICIANO,789955200000,30,DOCTORATE,SELF_EMPLOYED,MARRIED,2,2,MORTGAGE,ADJUSTER,1,0,1,0,0,1
420682816133,DEARRA,ALLEN,156038400000,50,ASSOCIATE,STUDENT,WIDOWED,1,2,MORTGAGE,AGENT,0,1,0,0,1,1
97325822321,JOEL,BECK,473212800000,40,BACHELOR,STUDENT,SINGLE,2,3,MORTGAGE,AGENT,1,1,1,1,0,1
768702368630,MANZUR,CHOWDURY,-128476800000,59,DOCTORATE,EMPLOYED,DIVORCED,3,3,OWN,AGENT,0,0,1,0,1,0
234608157883,STEVEN,EDWARDS,739238400000,32,DOCTORATE,RETIRED,DIVORCED,2,3,OWN,ADJUSTER,0,1,1,0,0,0
202567216662,DENNIS,MUMFORD,-338083200000,66,MASTER,EMPLOYED,SINGLE,2,3,RENT,AGENT,0,1,1,0,1,0
875346902871,DENNIS,CHAMBLISS,399254400000,42,ASSOCIATE,STUDENT,MARRIED,0,1,MORTGAGE,AGENT,0,0,0,0,1,0
493182822932,TYLER,APLIN,284601600000,46,BACHELOR,EMPLOYED,DIVORCED,2,2,OWN,AGENT,1,1,0,0,1,0
5336223484,SHERRI,HAMILTON,745804800000,31,MASTER,SELF_EMPLOYED,MARRIED,0,1,MORTGAGE,AGENT,1,0,0,1,1,0
591551646021,JERTAESHIA,MCMULLEN,-1555200000,55,BACHELOR,UNEMPLOYED,DIVORCED,2,3,RENT,AGENT,0,1,1,0,0,1
131482050052,CAROLYN,MAYBERRY,661132800000,34,HIGH_SCHOOL,SELF_EMPLOYED,DIVORCED,1,2,RENT,AGENT,1,0,1,0,0,1
352964718756,ALEJANDRO,AGUILERA-ACOSTA,658800000000,34,ASSOCIATE,RETIRED,DIVORCED,2,2,OTHER,AGENT,1,0,0,0,0,0
262259071336,ALEJANDRO,TORO,232156800000,48,HIGH_SCHOOL,SELF_EMPLOYED,SINGLE,3,4,MORTGAGE,AGENT,1,1,1,0,0,1
466858786304,MYRIAM,JIMENEZ,915235200000,26,MASTER,UNEMPLOYED,WIDOWED,0,1,OTHER,AGENT,0,0,1,0,0,1
359531699144,JOSE,BALLEZA,92793600000,52,DOCTORATE,SELF_EMPLOYED,DIVORCED,3,4,MORTGAGE,AGENT,0,1,1,0,0,0
312618904341,OLUWASEUN,SETH,-58838400000,57,ASSOCIATE,STUDENT,DIVORCED,0,1,MORTGAGE,AGENT,0,0,1,0,0,1
105856879621,LILIANA,PARKER,-284515200000,64,BACHELOR,UNEMPLOYED,SINGLE,3,4,MORTGAGE,ADJUSTER,0,0,1,1,0,0
922517865402,ELIJAH,GUEST,283737600000,46,MASTER,UNEMPLOYED,WIDOWED,2,2,RENT,ADJUSTER,0,0,0,0,1,0
914105170530,WILLIAM,ASHBAUGH,136252800000,51,MASTER,UNEMPLOYED,SINGLE,2,3,RENT,AGENT,1,1,0,0,1,0
173874139070,JAMES,HROMADKA,-244512000000,63,MASTER,RETIRED,DIVORCED,1,2,OWN,AGENT,1,1,0,0,1,1
402010444758,JOHN,MAHONEY,-322790400000,65,ASSOCIATE,SELF_EMPLOYED,SINGLE,2,2,OTHER,AGENT,0,0,0,0,0,1
24819704161,FRANCHELLE,THOMAS,73094400000,53,MASTER,RETIRED,DIVORCED,0,1,OWN,AGENT,1,0,1,1,1,0
843703951042,SUSAN,PAXTON,213062400000,48,DOCTORATE,UNEMPLOYED,MARRIED,3,3,RENT,AGENT,0,1,1,1,1,0
279124414686,MIGUEL,RAMIREZ,688780800000,33,HIGH_SCHOOL,EMPLOYED,DIVORCED,2,2,RENT,ADJUSTER,0,1,1,1,0,0
569423961254,DAJAUN,ALPHONSE,124588800000,51,ASSOCIATE,STUDENT,WIDOWED,3,4,RENT,AGENT,0,0,0,1,1,0
