CUST_ID,GENDER,ADDRESS,EMAIL_ID,STATE,ZIP,FIRST_NAME,LAST_NAME,TENURE_YEARS,AGE,EDUCATION_STATUS,MARITAL_STATUS,NO_OF_CHILDRENS,NO_OF_DEPENDENTS,HOUSE_OWNERSHIP,OCCUPATION,PURCHASE_HABITS_APPAREL,NPS_FEEDBACK,NPS_SCORE,NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS
622202748087,F,6187 River Dr DALLAS,christopher.hughes@mail.com,TX,752660042,CHRISTOPHER,HUGHES,10,51,BACHELOR,SINGLE,3,3,OTHER,ADJUSTER,0,Premiums keep rising while support is unresponsive.,3,7
853768867619,M,4719 Meadow Ct CHERRYVILLE,joseph.feliciano@gmail.com,PA,18035,JOSEPH,FELICIANO,12,30,DOCTORATE,MARRIED,2,2,MORTGAGE,ADJUSTER,1,Premiums keep rising while support is unresponsive.,6,3
420682816133,M,1233 Spruce St INDIANAPOLIS,dearra.allen@gmail.com,IN,462056029,DEARRA,ALLEN,1,50,ASSOCIATE,WIDOWED,1,2,MORTGAGE,AGENT,0,Products are decent; service quality varies by rep.,8,8
97325822321,N,2421 Hill Way DALLAS,joel.beck@gmail.com,TX,75201,JOEL,BECK,7,40,BACHELOR,SINGLE,2,3,MORTGAGE,AGENT,1,Coverage is acceptable for the price point.,8,4
768702368630,F,2730 Willow Pl ANAHEIM,manzur.chowdury@hotmail.com,CA,92801,MANZUR,CHOWDURY,7,59,DOCTORATE,DIVORCED,3,3,OWN,AGENT,0,Communication is fair; some steps could be simpler.,8,15
234608157883,M,983 Sunset St DALLAS,steven.edwards@outlook.com,TX,752660042,STEVEN,EDWARDS,2,32,DOCTORATE,DIVORCED,2,3,OWN,ADJUSTER,0,"Overall okay, but there’s room to improve response times.",7,15
202567216662,F,4762 River Ter CHARLOTTE,dennis.mumford@yahoo.com,NC,282701288,DENNIS,MUMFORD,12,66,MASTER,SINGLE,2,3,RENT,AGENT,0,"Overall okay, but there’s room to improve response times.",7,4
875346902871,F,8971 Birch Way MCKINNEY,dennis.chambliss@mail.com,TX,750716260,DENNIS,CHAMBLISS,4,42,ASSOCIATE,MARRIED,0,1,MORTGAGE,AGENT,0,"Professional team, smooth process from start to finish.",9,8
493182822932,F,4032 Pine Ter DADE CITY,tyler.aplin@hotmail.com,FL,335258386,TYLER,APLIN,5,46,BACHELOR,DIVORCED,2,2,OWN,AGENT,1,Service was slow and the experience was frustrating.,5,10
5336223484,M,6584 Elm Ave MOORE,sherri.hamilton@example.com,OK,731607042,SHERRI,HAMILTON,3,31,MASTER,MARRIED,0,1,MORTGAGE,AGENT,1,Easy to work with; I feel well covered.,9,2
591551646021,F,6121 Birch Way RICHMOND,jertaeshia.mcmullen@mail.com,VA,23224,JERTAESHIA,MCMULLEN,17,55,BACHELOR,DIVORCED,2,3,RENT,AGENT,0,Excellent service and clear communication—highly recommend.,9,9
131482050052,F,6152 Ash Ter FRISCO,carolyn.mayberry@example.com,TX,750345550,CAROLYN,MAYBERRY,4,34,HIGH_SCHOOL,DIVORCED,1,2,RENT,AGENT,1,Coverage is acceptable for the price point.,7,15
352964718756,F,856 Birch Ln SANFORD,alejandro.aguileraacosta@yahoo.com,FL,32773,ALEJANDRO,AGUILERA-ACOSTA,11,34,ASSOCIATE,DIVORCED,2,2,OTHER,AGENT,1,Service was slow and the experience was frustrating.,4,10
262259071336,F,7436 Maple Ln DOWNEY,alejandro.toro@example.com,CA,902404028,ALEJANDRO,TORO,13,48,HIGH_SCHOOL,SINGLE,3,4,MORTGAGE,AGENT,1,"Experience was fine, nothing exceptional.",7,5
466858786304,F,4404 Meadow Ave PLANO,myriam.jimenez@hotmail.com,TX,75074,MYRIAM,JIMENEZ,9,26,MASTER,WIDOWED,0,1,OTHER,AGENT,0,Easy to work with; I feel well covered.,9,16
359531699144,F,5244 Meadow Ave CORPUS CHRISTI,jose.balleza@hotmail.com,TX,784144233,JOSE,BALLEZA,8,52,DOCTORATE,DIVORCED,3,4,MORTGAGE,AGENT,0,I felt pressured into products that weren’t a good fit.,6,10
312618904341,F,7441 Birch Way PRINCETON,oluwaseun.seth@mail.com,TX,75407,OLUWASEUN,SETH,8,57,ASSOCIATE,DIVORCED,0,1,MORTGAGE,AGENT,0,Reliable products at a fair price; I’m satisfied.,10,16
105856879621,M,4721 Maple Way PLANO,liliana.parker@outlook.com,TX,75093,LILIANA,PARKER,14,64,BACHELOR,SINGLE,3,4,MORTGAGE,ADJUSTER,0,Products are decent; service quality varies by rep.,8,3
922517865402,F,502 River Ter JOHNS CREEK,elijah.guest@yahoo.com,GA,300221141,ELIJAH,GUEST,20,46,MASTER,WIDOWED,2,2,RENT,ADJUSTER,0,Great value and fast claims support.,10,14
914105170530,F,1630 Oak Pl HOUSTON,william.ashbaugh@yahoo.com,TX,770078192,WILLIAM,ASHBAUGH,6,51,MASTER,SINGLE,2,3,RENT,AGENT,1,Products are decent; service quality varies by rep.,7,10
173874139070,M,7170 Willow Pl HOUSTON,james.hromadka@hotmail.com,TX,77019,JAMES,HROMADKA,6,63,MASTER,DIVORCED,1,2,OWN,AGENT,1,Reliable products at a fair price; I’m satisfied.,9,5
402010444758,M,1858 Cedar Rd INDIANAPOLIS,john.mahoney@yahoo.com,IN,462400000,JOHN,MAHONEY,8,65,ASSOCIATE,SINGLE,2,2,OTHER,AGENT,0,Premiums keep rising while support is unresponsive.,4,10
24819704161,M,8261 Maple Way CONROE,franchelle.thomas@outlook.com,TX,773051248,FRANCHELLE,THOMAS,17,53,MASTER,DIVORCED,0,1,OWN,AGENT,1,"Professional team, smooth process from start to finish.",10,3
843703951042,M,4142 Ash Ter TYLER,susan.paxton@example.com,TX,75701,SUSAN,PAXTON,15,48,DOCTORATE,MARRIED,3,3,RENT,AGENT,0,"Professional team, smooth process from start to finish.",9,17
279124414686,F,7786 Birch Ln DALLAS,miguel.ramirez@yahoo.com,TX,75224,MIGUEL,RAMIREZ,15,33,HIGH_SCHOOL,DIVORCED,2,2,RENT,ADJUSTER,0,Service was slow and the experience was frustrating.,6,6
569423961254,F,354 Meadow Ave WEST PALM BEACH,dajaun.alphonse@hotmail.com,FL,33411,DAJAUN,ALPHONSE,3,51,ASSOCIATE,WIDOWED,3,4,RENT,AGENT,0,"Professional team, smooth process from start to finish.",10,3
75007514007,F,2107 River Dr TAMPA,nouredine.belkherroubi@mail.com,FL,336474059,NOUREDINE,BELKHERROUBI,9,41,ASSOCIATE,MARRIED,2,3,OTHER,AGENT,1,Products are decent; service quality varies by rep.,7,5
81176566914,F,5014 Chestnut Ave HUNTINGTON BEACH,christopher.franchina@yahoo.com,CA,92649,CHRISTOPHER,FRANCHINA,12,40,DOCTORATE,WIDOWED,0,0,RENT,AGENT,0,"Professional team, smooth process from start to finish.",10,17
